ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
0.0479,-8.8346,0.9146
0.0575,-11.3054,0.9337
0.0575,-11.3054,0.9337
-0.3831,-11.4922,1.3503
-0.3831,-11.4922,1.3503
-1.0104,-9.6678,1.8244
-1.3599,-8.8202,2.0542
-1.3599,-8.8202,2.0542
-2.399,-7.9583,1.5371
-2.399,-7.9583,1.5371
-2.7916,-7.513,0.8715
-2.7916,-7.513,0.8715
-2.3176,-6.7612,0.5507
-2.3176,-6.7612,0.5507
-2.399,-5.9568,0.3831
-2.399,-5.9568,0.3831
-2.7677,-5.8083,0.3112
-2.7677,-5.8083,0.3112
-3.1987,-6.0908,0.407
-3.1987,-6.0908,0.407
-3.4716,-7.5226,0.6704
-3.4716,-7.5226,0.6704
-3.8738,-9.1842,1.0343
-3.8738,-9.1842,1.0343
-4.3814,-9.9503,0.6369
-4.3814,-9.9503,0.6369
-5.703,-10.4579,0.2298
-6.1244,-10.5105,0.067
-6.1244,-10.5105,0.067
-6.2632,-10.2663,0.0622
-6.2632,-10.2663,0.0622
-6.0765,-9.4475,1.9968
-6.0813,-8.7149,2.8347
-6.0813,-8.7149,2.8347
-7.9152,-9.1411,-1.3455
-7.9152,-9.1411,-1.3455
-9.2033,-9.7731,-1.7573
-9.2033,-9.7731,-1.7573
-8.6622,-10.1658,-8.0206
-8.6622,-10.1658,-8.0206
-9.1937,-9.5672,-10.8026
-9.1937,-9.5672,-10.8026
-9.6391,-9.6343,0.2682
-9.165,-9.1985,1.7478
-9.165,-9.1985,1.7478
-12.1434,-8.2696,-2.8347
-12.1434,-8.2696,-2.8347
-12.1434,-8.2696,-2.8347
-11.8226,-8.8921,-5.3534
-11.8226,-8.8921,-5.3534
-9.7444,-11.5113,0.7757
-9.7444,-11.5113,0.7757
-8.2696,-14.188,-0.9242
-8.2696,-14.188,-0.9242
-5.7461,-16.6205,-1.9968
-5.7461,-16.6205,-1.9968
-5.928,-19.666,0.0096
-5.928,-19.666,0.0096
-2.059,-23.7553,0.3687
-2.059,-23.7553,0.3687
2.873,-22.4432,-1.1492
2.873,-22.4432,-1.1492
4.6112,-16.3476,1.2402
2.8347,-12.6701,2.9113
2.8347,-12.6701,2.9113
3.2992,-7.0437,3.5386
3.2992,-7.0437,3.5386
2.1021,-4.2377,0.431
2.1021,-4.2377,0.431
-0.0048,-2.9688,-0.5028
-0.0048,-2.9688,-0.5028
-1.0918,-2.4325,0.4453
-1.0918,-2.4325,0.4453
-1.154,-3.6152,1.4509
-1.154,-3.6152,1.4509
-0.8619,-4.9177,3.1173
-0.8619,-4.9177,3.1173
-0.6369,-5.3391,4.9847
0.0096,-5.138,5.1332
0.0096,-5.138,5.1332
1.6664,-4.8028,4.6735
1.6664,-4.8028,4.6735
3.0071,-5.2385,3.486
3.0071,-5.2385,3.486
3.6679,-6.3303,1.5897
3.6679,-6.3303,1.5897
3.0502,-9.7875,-1.7095
3.0502,-9.7875,-1.7095
-10.161,-14.5759,-21.3275
-10.161,-14.5759,-21.3275
-18.3013,-17.3101,0.1484
-18.3013,-17.3101,0.1484
-26.6092,-11.9279,-6.2537
-26.6092,-11.9279,-6.2537
-16.18,-7.6471,-3.3998
-16.18,-7.6471,-3.3998
-16.18,-7.6471,-3.3998
-8.7436,-3.9217,-2.6384
-4.4436,-4.5633,-1.4988
-4.4436,-4.5633,-1.4988
-2.1069,-7.7237,-0.838
-2.1069,-7.7237,-0.838
0.723,-14.1737,1.2115
0.723,-14.1737,1.2115
2.0686,-19.0914,-4.4053
2.0686,-19.0914,-4.4053
-1.7095,-20.6524,0.5555
-1.7095,-20.6524,0.5555
-0.6464,-11.0373,5.1667
-0.6464,-11.0373,5.1667
0.6225,-8.2408,0.2825
0.6225,-8.2408,0.2825
0.4788,-6.7038,-0.4453
0.4788,-6.7038,-0.4453
-0.2586,-6.3111,-0.067
-0.2586,-6.3111,-0.067
-1.5036,-7.082,0.4884
-1.5036,-7.082,0.4884
-2.4995,-8.3079,0.8954
-2.4995,-8.3079,0.8954
-3.0789,-9.3087,1.719
-3.0789,-9.3087,1.719
-3.2705,-8.8681,1.7813
-3.2705,-8.8681,1.7813
-2.6767,-7.6998,1.4509
-2.6767,-7.6998,1.4509
-2.083,-6.3207,0.8763
-2.083,-6.3207,0.8763
-1.8004,-5.8466,0.7709
-1.8004,-5.8466,0.7709
-2.8443,-7.0629,0.5507
-2.8443,-7.0629,0.5507
-4.1563,-8.7867,-0.3256
-4.1563,-8.7867,-0.3256
-5.2577,-9.9838,-0.2729
-5.2577,-9.9838,-0.2729
-5.9089,-10.5584,0.0766
-5.9089,-10.5584,0.0766
-6.4979,-10.5824,0.7183
-6.4979,-10.5824,0.7183
-7.1874,-10.1083,1.585
-7.1874,-10.1083,1.585
-7.3358,-9.0549,1.6999
-7.3358,-9.0549,1.6999
-7.0677,-8.6239,1.0965
-7.0677,-8.6239,1.0965
-7.1251,-9.1267,0.249
-7.1251,-9.1267,0.249
-7.2975,-10.1131,0.0718
-7.2975,-10.1131,0.0718
-8.1116,-10.6925,0.6416
-8.1116,-10.6925,0.6416
-10.6015,-11.3437,-6.8618
-10.6015,-11.3437,-6.8618
-12.7084,-10.3286,-17.1377
-12.7084,-10.3286,-17.1377
-9.0597,-10.0126,3.3184
-9.0597,-10.0126,3.3184
-12.9191,-7.8721,-9.0357
-12.9191,-7.8721,-9.0357
-10.9654,-11.2575,-3.4141
-10.9654,-11.2575,-3.4141
-8.4515,-13.8289,0.0958
-8.4515,-13.8289,0.0958
-5.6886,-15.275,-0.0575
-5.6886,-15.275,-0.0575
-5.636,-17.607,0.2969
-5.636,-17.607,0.2969
-5.7988,-19.0722,0.9481
-5.7988,-19.0722,0.9481
-3.6344,-21.6771,0.6129
-3.6344,-21.6771,0.6129
-0.8619,-20.6667,1.1205
-0.8619,-20.6667,1.1205
4.1085,-16.7881,4.3239
4.1085,-16.7881,4.3239
0.6464,-10.9798,8.8202
0.6464,-10.9798,8.8202
0.5794,-6.5027,2.9975
0.5794,-6.5027,2.9975
0.4597,-2.4229,-4.7357
0.4597,-2.4229,-4.7357
1.1061,-1.245,-2.8395
1.1061,-1.245,-2.8395
0.0766,-2.3463,2.0159
0.0766,-2.3463,2.0159
-0.2155,-3.553,4.5538
-0.2155,-3.553,4.5538
1.7957,-4.4341,4.6591
1.7957,-4.4341,4.6591
2.8347,-4.7645,4.9704
2.8347,-4.7645,4.9704
3.3615,-5.0709,4.1515
3.3615,-5.0709,4.1515
4.3718,-5.952,1.9297
4.3718,-5.952,1.9297
3.6009,-7.7285,0.838
2.5666,-10.1849,0.4597
2.5666,-10.1849,0.4597
2.5666,-10.1849,0.4597
-13.3165,-17.6836,-25.6898
-19.7043,-17.9613,-0.0383
-19.7043,-17.9613,-0.0383
-24.6842,-11.9997,-2.1787
-24.6842,-11.9997,-2.1787
-14.8776,-7.7285,-3.5913
-14.8776,-7.7285,-3.5913
-8.8059,-3.6871,-1.312
-8.8059,-3.6871,-1.312
-5.0182,-5.636,-0.9098
-5.0182,-5.636,-0.9098
-0.1149,-9.4332,-1.1301
5.5737,-14.5424,-9.1458
5.5737,-14.5424,-9.1458
1.3551,-16.4721,-3.1651
1.3551,-16.4721,-3.1651
-1.8962,-17.2047,0.1293
-1.8962,-17.2047,0.1293
-0.3591,-11.4682,4.3383
-0.3591,-11.4682,4.3383
0.0575,-9.4667,3.1029
-0.34,-7.853,1.6664
-0.34,-7.853,1.6664
-0.2346,-7.6902,1.5323
-0.2346,-7.6902,1.5323
-0.2346,-7.6902,1.5323
-1.4269,-7.9009,1.1732
-1.4269,-7.9009,1.1732
-2.8347,-8.6,1.1588
-2.8347,-8.6,1.1588
-3.4093,-9.1506,1.2929
-3.4093,-9.1506,1.2929
-3.2226,-8.7771,1.7909
-3.2226,-8.7771,1.7909
-2.988,-7.4316,1.5658
-2.988,-7.4316,1.5658
-2.6576,-5.9376,1.245
-2.6576,-5.9376,1.245
-2.6671,-5.363,0.972
-2.6671,-5.363,0.972
-3.3806,-6.4117,0.249
-3.3806,-6.4117,0.249
-4.458,-8.1786,-0.3879
-4.458,-8.1786,-0.3879
-5.9568,-9.596,-0.2059
-5.9568,-9.596,-0.2059
-6.699,-10.3334,0.2825
-6.699,-10.3334,0.2825
-6.7325,-10.137,0.8523
-6.7325,-10.137,0.8523
-6.5266,-9.256,1.3072
-6.5266,-9.256,1.3072
-6.3351,-8.8633,0.6464
-6.3351,-8.8633,0.6464
-5.6599,-9.2608,-0.5363
