ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-2.7821,7.513,5.5067
-1.1779,8.4036,5.3056
-1.6041,8.0637,5.1571
-1.6041,8.0637,5.1571
-2.5187,7.7764,5.7461
-2.0207,8.0302,5.5545
-2.0207,8.0302,5.5545
-1.6616,8.0541,5.2625
-1.6616,8.0541,5.2625
-2.5235,7.9009,5.454
-2.5235,7.9009,5.454
-1.6281,8.0732,5.0422
-1.6281,8.0732,5.0422
-2.5762,7.9296,5.296
-2.5762,7.9296,5.296
-1.9728,7.8578,4.9847
-1.9728,7.8578,4.9847
-1.7478,7.9344,5.0039
-2.4421,7.6184,5.5258
-2.4421,7.6184,5.5258
-2.4421,7.6184,5.5258
-1.4796,8.2935,4.9608
-1.4796,8.2935,4.9608
-2.5905,7.7381,4.8746
-2.5905,7.9152,4.9416
-1.9106,7.9152,4.9416
-1.9106,7.9152,4.9416
-1.81,7.8386,5.1236
-1.81,7.8386,5.1236
-1.8866,8.1403,5.4253
-1.8866,8.1403,5.4253
-2.1787,7.8721,5.1284
-2.1787,7.8721,5.1284
-2.4517,7.7189,5.4061
-2.4517,7.7189,5.4061
-1.403,8.2313,5.387
-1.403,8.2313,5.387
-2.4181,7.8195,5.7317
-2.4181,7.8195,5.7317
-1.5514,8.2648,5.3295
-1.5514,8.2648,5.3295
-2.4373,7.8578,5.3199
-2.4373,7.8578,5.3199
-1.968,7.9535,5.6743
-1.968,7.9535,5.6743
-1.3455,8.2983,5.0422
-1.3455,8.2983,5.0422
-2.7581,7.58,5.5019
-2.7581,7.58,5.5019
-1.336,8.3175,5.0757
-1.336,8.3175,5.0757
-2.1979,7.8051,5.3774
-2.1979,7.8051,5.3774
-1.6999,8.1307,5.3295
-1.6999,8.1307,5.3295
-1.5754,7.8626,4.9895
-1.5754,7.8626,4.9895
-2.2266,8.0972,5.4444
-2.2266,8.0972,5.4444
-1.47,8.327,5.2002
-2.059,8.1642,5.1858
-2.059,8.1642,5.1858
-2.15,8.1499,5.1284
-2.15,8.1499,5.1284
-1.4461,8.4036,4.8937
-1.4461,8.4036,4.8937
-2.8252,7.9009,5.5833
-2.8252,7.9009,5.5833
-1.5275,8.3845,5.0853
-1.5275,8.3845,5.0853
-2.2505,8.0445,5.2002
-2.2505,8.0445,5.2002
-1.7621,8.2839,5.1715
-1.7621,8.2839,5.1715
-1.7621,8.2839,5.1715
-2.0351,8.1116,5.4588
-2.4756,8.3845,5.5306
-2.4756,8.3845,5.5306
-2.2745,8.1068,4.9752
-2.2745,8.1068,4.9752
-2.5474,8.1068,5.1475
-1.9728,8.3462,5.1284
-1.9728,8.3462,5.1284
-2.3032,8.0493,5.296
-2.3032,8.0493,5.296
-2.3032,8.0493,5.296
-2.4565,7.9104,5.2816
-2.4565,7.9104,5.2816
-1.7861,8.1642,5.2625
-1.7861,8.1642,5.2625
-2.4612,7.9344,5.2864
-2.5379,8.0685,5.2433
-2.5379,8.0685,5.2433
-2.0063,8.0732,4.8937
-2.0063,8.0732,4.8937
-2.3176,7.7907,5.3534
-2.3176,7.7907,5.3534
-1.6424,7.8482,5.3103
-1.6424,7.8482,5.3103
-2.6671,7.7955,5.2146
-2.49,7.7333,4.9752
-2.49,7.7333,4.9752
-1.8627,7.8961,4.6064
-1.8627,7.8961,4.6064
-2.3463,7.6184,4.9225
-2.3463,7.6184,4.9225
-1.6185,8.0014,5.2241
-1.6185,8.0014,5.2241
-2.6719,7.422,5.1236
-2.6719,7.422,5.1236
-2.0638,7.9583,4.4772
-2.0638,7.9583,4.4772
-1.9249,7.7859,4.2425
-2.3176,7.9009,4.5059
-2.3176,7.9009,4.5059
-2.1452,7.9823,4.9752
-2.1356,8.0062,5.0087
-2.1356,8.0062,5.0087
-2.2505,7.853,5.205
-2.2505,7.853,5.205
-2.1117,7.9248,4.9704
-2.1117,7.9248,4.9704
-2.2122,7.8626,5.0326
-2.2122,7.8626,5.0326
-1.7526,8.1068,4.7357
-1.7526,8.1068,4.7357
