ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
-3.4046,1.8675,8.5521
-2.1117,-2.8826,10.228
-2.1117,-2.8826,10.228
-5.5258,-3.8403,5.7365
-5.5258,-3.8403,5.7365
-12.8138,-3.3327,-0.8715
-12.8138,-3.3327,-0.8715
-15.8975,-4.7692,-6.2106
-15.8975,-4.7692,-6.2106
-4.6831,-4.4676,-4.2377
-4.6831,-4.4676,-4.2377
3.6727,-3.0646,-3.5386
4.7884,-2.6097,-5.3103
4.7884,-2.6097,-5.3103
2.6193,-1.5897,-0.2298
0.7135,-0.6752,-1.0534
0.7135,-0.6752,-1.0534
-4.0558,1.4222,-22.9221
-4.0558,1.4222,-22.9221
-1.5467,-0.8475,-0.0814
-1.5467,-0.8475,-0.0814
-2.9161,3.711,2.9018
-2.6719,8.7388,6.4452
-2.6719,8.7388,6.4452
7.4316,22.0937,24.2245
9.5481,31.9003,30.6554
9.5481,31.9003,30.6554
9.5481,31.9003,30.6554
9.2895,29.1997,22.855
9.2895,29.1997,22.855
-2.083,34.4669,3.0789
0.7326,42.3869,-12.0859
0.7326,42.3869,-12.0859
11.9519,39.7581,-16.6876
11.9519,39.7581,-16.6876
27.0928,19.484,-24.7177
18.3013,-5.9472,-54.6884
18.3013,-5.9472,-54.6884
-1.5562,-15.7682,-102.5532
-1.1636,16.1896,5.0278
-1.1636,16.1896,5.0278
15.2271,9.165,-16.338
15.2271,9.165,-16.338
8.6191,8.6766,5.7509
7.4891,6.8235,4.1132
7.4891,6.8235,4.1132
5.387,2.4421,0.3112
5.387,2.4421,0.3112
7.3885,-1.4413,-14.3173
5.8945,-3.2705,-13.5751
5.8945,-3.2705,-13.5751
0.1437,-1.8483,-1.0774
0.1437,-1.8483,-1.0774
1.9824,-0.9337,5.5354
2.5187,-0.9146,6.6272
2.5187,-0.9146,6.6272
0.6369,3.1316,7.7955
0.6369,3.1316,7.7955
-1.9441,10.1083,6.9097
-3.1508,16.5775,4.1228
-3.1508,16.5775,4.1228
0.2394,34.1365,-16.3237
0.2394,34.1365,-16.3237
30.5787,50.2016,0.9816
37.7422,53.2806,15.0835
37.7422,53.2806,15.0835
11.2049,32.4606,11.3772
11.2049,32.4606,11.3772
6.4643,24.3155,-12.2296
6.4643,24.3155,-12.2296
-0.249,19.0483,-32.5994
-9.0501,14.8057,3.2322
-9.0501,14.8057,3.2322
-6.3063,9.1219,5.5737
-6.3063,9.1219,5.5737
-5.3295,6.4643,7.8147
-5.2241,1.2163,8.3701
-5.2241,1.2163,8.3701
-8.6622,-1.4269,9.4571
-8.6622,-1.4269,9.4571
-12.3541,0.1341,11.995
-12.3541,0.1341,11.995
-15.9167,-0.8092,11.2144
-16.0603,-2.8252,4.6304
-16.0603,-2.8252,4.6304
-14.686,-3.4907,0.431
-14.686,-3.4907,0.431
-14.686,-3.4907,0.431
5.0661,-9.821,-16.2279
5.0661,-9.821,-16.2279
12.8808,-7.6471,-24.1288
12.8808,-7.6471,-24.1288
-0.2538,-1.652,-5.3295
-0.2538,-1.5131,-4.1228
-1.9728,-1.5131,-4.1228
-3.0311,-1.6185,-0.4549
-3.0311,-1.6185,-0.4549
-3.3998,0.996,3.9169
-3.3998,0.996,3.9169
-3.7158,4.276,5.1571
-3.6344,7.5848,7.0581
-3.6344,7.5848,7.0581
-2.6767,19.6756,26.5469
-2.6767,19.6756,26.5469
7.2449,38.585,49.9861
3.8355,40.893,36.5978
3.8355,40.893,36.5978
-5.1236,47.1323,-1.6089
-5.1236,47.1323,-1.6089
6.7852,45.7053,-20.073
11.1426,40.2226,-20.3028
11.1426,40.2226,-20.3028
32.2643,-5.1571,-62.0098
32.2643,-5.1571,-62.0098
17.1185,-6.8522,-107.1501
17.1185,-6.8522,-107.1501
24.1958,12.2679,-14.0588
16.9031,14.4945,0.4357
16.9031,14.4945,0.4357
8.3797,8.6,0.7087
8.3797,8.6,0.7087
7.4172,5.6599,-1.5706
10.0748,-1.0582,-12.311
10.0748,-1.0582,-12.311
3.7781,-2.3272,-5.6024
3.7781,-2.3272,-5.6024
2.0494,-2.0494,-3.9217
1.3838,-2.0638,-0.5219
1.3838,-2.0638,-0.5219
2.0351,-2.49,3.1747
2.0351,-2.49,3.1747
-2.1404,0.0431,5.4875
-2.9688,2.8012,9.2512
-2.9688,2.8012,9.2512
-5.8179,7.5034,12.9
-5.8179,7.5034,12.9
-8.3653,10.5728,12.627
-8.3653,10.5728,12.627
-13.7714,20.7817,7.2353
13.3166,45.4419,-0.4166
13.3166,45.4419,-0.4166
