ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
5.5881,0.8475,-2.1596
5.7269,-0.7566,-6.0621
2.9736,-1.3264,-6.2393
2.9736,-1.3264,-6.2393
1.1492,-1.7334,-2.3511
1.1492,-1.7334,-2.3511
1.2689,-1.8004,-0.1197
1.2689,-1.8004,-0.1197
2.0973,-2.4325,0.8045
3.7541,-2.2314,2.7198
3.7541,-2.2314,2.7198
4.0462,-1.0439,4.4676
4.0462,-1.0439,4.4676
4.0414,3.5913,7.8721
-1.8675,23.0131,8.3653
-1.8675,23.0131,8.3653
-2.9353,42.0709,4.1468
-2.9353,42.0709,4.1468
6.292,61.9428,12.3349
6.292,61.9428,12.3349
27.5621,41.6735,22.223
22.041,29.6546,13.6517
22.041,29.6546,13.6517
14.6238,18.105,-6.6607
14.6238,18.105,-6.6607
-11.3629,-8.4036,-80.6463
0.6895,0.3783,33.2028
0.6895,0.3783,33.2028
-10.2663,6.79,-2.1213
-10.2663,6.79,-2.1213
-6.0238,2.6193,1.9537
-4.5155,0.4788,2.1117
-4.5155,0.4788,2.1117
-1.968,-2.3463,1.6807
-1.968,-2.3463,1.6807
-1.3455,-3.1939,2.1596
-1.3455,-3.1939,2.1596
-1.7765,-3.5578,2.3367
-1.1875,-3.5051,1.9632
-1.1875,-3.5051,1.9632
-2.1739,-2.2697,0.6847
-2.1739,-2.2697,0.6847
-2.9592,-1.8292,-0.2155
-4.4963,-0.6273,0.1772
-4.4963,-0.6273,0.1772
-6.1962,1.063,0.9146
-6.1962,1.063,0.9146
-9.7013,2.1404,2.1261
-7.0054,2.5474,0.8619
-7.0054,2.5474,0.8619
-7.9918,11.6981,2.1548
-7.9918,11.6981,2.1548
-10.1131,21.1456,2.3846
-4.5203,35.822,6.6367
-4.5203,35.822,6.6367
6.7277,37.5938,6.7612
6.7277,37.5938,6.7612
40.7828,32.2499,17.4537
40.7828,32.2499,17.4537
15.1074,26.4655,17.2383
2.4852,24.4975,1.0534
2.4852,24.4975,1.0534
3.8068,21.8064,-4.8794
3.8068,21.8064,-4.8794
-6.1339,-4.7357,-78.4149
0.2586,-11.4347,-77.8977
0.2586,-11.4347,-77.8977
9.9407,10.2328,1.9872
9.9407,10.2328,1.9872
11.9997,8.8011,5.1284
7.9057,5.8323,4.1276
7.9057,5.8323,4.1276
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.5314,4.6064,1.6999
6.1387,0.8475,-8.9016
6.1387,0.8475,-8.9016
6.1387,0.8475,-8.9016
1.6185,-2.897,3.9361
1.6185,-2.897,3.9361
1.6185,-2.897,3.9361
-1.0822,1.3982,5.6982
-1.0822,1.3982,5.6982
-6.0717,17.7554,4.209
-6.0717,17.7554,4.209
-6.0717,17.7554,4.209
13.0005,66.0321,8.6287
13.0005,66.0321,8.6287
13.0005,66.0321,8.6287
45.4036,43.517,12.0045
45.4036,43.517,12.0045
-1.063,11.88,-28.1893
-1.063,11.88,-28.1893
-1.063,11.88,-28.1893
-10.9319,-10.0317,-16.8264
-10.9319,-10.0317,-16.8264
-11.7795,2.1356,4.4819
-11.7795,2.1356,4.4819
-11.7795,2.1356,4.4819
-6.7373,1.5227,-2.0207
-6.7373,1.5227,-2.0207
-6.7373,1.5227,-2.0207
-1.5754,-2.4852,-1.1396
-0.5602,-3.3327,-2.2697
-0.5602,-3.3327,-2.2697
-0.5602,-3.3327,-2.2697
-0.4262,-3.0981,-1.4413
-0.4262,-3.0981,-1.4413
-0.2969,-3.395,0.6752
-0.2969,-3.395,0.6752
-2.8539,-1.1827,-0.6752
-2.8539,-1.1827,-0.6752
-2.8539,-1.1827,-0.6752
-3.893,0.6752,-0.1963
-3.893,0.6752,-0.1963
-4.7118,1.4078,-0.3687
-4.7118,1.4078,-0.3687
-11.0995,7.9583,-1.1684
-11.0995,7.9583,-1.1684
-13.0628,28.7544,0.8332
-13.0628,28.7544,0.8332
-5.4636,35.9657,6.1962
-5.4636,35.9657,6.1962
11.5017,36.5595,10.3908
11.5017,36.5595,10.3908
20.3651,31.2683,18.105
20.3651,31.2683,18.105
9.347,24.9141,11.8657
9.347,24.9141,11.8657
2.6001,19.9724,-0.4693
2.6001,19.9724,-0.4693
2.6001,19.9724,-0.4693
3.9169,17.4106,-3.7589
3.9169,17.4106,-3.7589
-0.3687,-7.2544,-26.5517
-0.3687,-7.2544,-26.5517
11.6119,8.5521,-14.7196
10.7883,8.6335,8.0445
10.7883,8.6335,8.0445
8.2696,7.0868,5.8562
8.2696,7.0868,5.8562
4.2856,3.9456,1.0295
4.2856,3.9456,1.0295
3.4093,2.0303,-1.6903
3.4093,2.0303,-1.6903
3.3615,1.3647,-1.9872
3.3615,1.3647,-1.9872
5.2385,-5.0661,-6.9575
5.2385,-5.0661,-6.9575
1.6041,-1.6664,3.9409
1.6041,-1.6664,3.9409
3.2274,-2.9928,6.2153
3.2274,-2.9928,6.2153
-1.0391,0.6225,7.2927
-1.0391,0.6225,7.2927
-4.7309,5.6551,6.5505
-4.7309,5.6551,6.5505
-4.7309,5.6551,6.5505
-8.576,34.6824,-4.4149
-8.576,34.6824,-4.4149
-4.027,66.7647,13.2351
-4.027,66.7647,13.2351
15.7108,32.8006,7.4891
15.7108,32.8006,7.4891
5.114,15.4282,-11.3054
5.114,15.4282,-11.3054
-21.6723,2.1165,-107.7965
-21.6723,2.1165,-107.7965
-6.7564,-1.5514,11.971
-6.7564,-1.5514,11.971
-10.1035,-0.6847,-2.4038
-10.1035,-0.6847,-2.4038
-7.8769,-0.3591,-2.0782
-7.8769,-0.3591,-2.0782
-7.8769,-0.3591,-2.0782
-0.9098,-3.2465,-6.359
-0.9098,-3.2465,-6.359
0.2203,-3.462,-9.232
0.2203,-3.462,-9.232
1.3072,-3.711,1.2498
1.3072,-3.711,1.2498
0.1724,-3.6344,1.47
0.1724,-3.6344,1.47
0.1724,-3.6344,1.47
-3.1699,-0.5938,0.6608
-3.1699,-0.5938,0.6608
-4.8363,0.5507,1.2737
-4.8363,0.5507,1.2737
-6.1962,2.059,0.6273
-6.1962,2.059,0.6273
-10.6925,4.0845,0.2921
-10.6925,4.0845,0.2921
-17.7554,11.8992,-3.7206
-17.7554,11.8992,-3.7206
-12.6893,23.4105,0.0431
-12.6893,23.4105,0.0431
8.5234,32.3217,8.3462
8.5234,32.3217,8.3462
47.1323,28.6777,15.3612
47.1323,28.6777,15.3612
18.1959,22.7066,4.8842
18.1959,22.7066,4.8842
18.1959,22.7066,4.8842
-5.8179,24.2676,2.0446
-5.8179,24.2676,2.0446
-3.0598,19.7905,2.241
-3.0598,19.7905,2.241
-1.087,8.6431,-13.2399
-1.087,8.6431,-13.2399
10.1993,2.2936,-12.378
10.1993,2.2936,-12.378
20.6907,5.0901,-19.9006
20.6907,5.0901,-19.9006
3.5482,8.6095,9.2368
3.5482,8.6095,9.2368
1.7765,5.9616,4.5586
1.7765,5.9616,4.5586
1.0343,3.4668,1.6807
1.0343,3.4668,1.6807
0.5171,1.585,0.3687
0.5171,1.585,0.3687
-0.0527,0.6464,-0.4693
-0.0527,0.6464,-0.4693
-0.0527,0.6464,-0.4693
0.747,-1.6328,-0.067
0.747,-1.6328,-0.067
1.6041,-1.7621,2.3607
1.6041,-1.7621,2.3607
1.5036,2.2841,2.9736
1.5036,2.2841,2.9736
6.4548,24.8231,-7.0629
6.4548,24.8231,-7.0629
13.8193,59.9317,-1.8483
13.8193,59.9317,-1.8483
14.0683,60.717,26.159
14.0683,60.717,26.159
9.663,27.9164,23.8558
9.663,27.9164,23.8558
-1.4078,-0.2203,-14.8632
-1.4078,-0.2203,-14.8632
1.0439,1.1732,8.3749
1.0439,1.1732,8.3749
-4.4819,2.1165,0.8236
-3.8451,1.5131,4.0079
-3.8451,1.5131,4.0079
-3.8451,1.5131,4.0079
-2.624,-1.7478,3.9887
-2.624,-1.7478,3.9887
-1.5658,-3.7876,3.2561
-1.5658,-3.7876,3.2561
-1.5227,-4.3958,2.988
-1.5227,-4.3958,2.988
-1.7238,-4.391,1.5945
-1.7238,-4.391,1.5945
-3.0406,-3.8211,1.4317
-3.0406,-3.8211,1.4317
-4.118,-3.4285,0.0431
-5.43,-1.6328,-2.4469
-5.9041,-0.5938,-3.3519
-5.9041,-0.5938,-3.3519
-9.4619,1.4126,-11.224
-9.4619,1.4126,-11.224
-9.347,1.7334,-9.1506
-9.347,1.7334,-9.1506
-10.1993,0.9577,-1.1971
-10.1993,0.9577,-1.1971
-7.4843,2.557,0.3879
-7.4843,2.557,0.3879
-6.3782,16.8935,6.6702
-6.3782,16.8935,6.6702
-6.3782,16.8935,6.6702
17.2239,37.6369,15.4953
18.5407,36.0615,19.6133
18.5407,36.0615,19.6133
5.4013,36.2195,11.6885
5.4013,36.2195,11.6885
0.0718,35.6784,6.9192
2.8443,26.4655,-0.7374
2.8443,26.4655,-0.7374
2.8443,26.4655,-0.7374
10.5153,1.8675,-102.4335
5.8466,-6.8139,-33.3991
5.8466,-6.8139,-33.3991
-5.023,-0.68,88.3796
-5.023,-0.68,88.3796
15.3804,6.0669,-16.3811
12.4929,8.7724,6.4117
12.4929,8.7724,6.4117
8.3079,6.3446,3.2465
8.3079,6.3446,3.2465
4.458,4.549,-0.1006
3.9409,3.2657,-1.0247
3.9409,3.2657,-1.0247
6.8139,0.0958,-12.4307
6.8139,0.0958,-12.4307
3.0981,-2.0063,-7.0342
2.739,-3.0837,-1.4605
2.739,-3.0837,-1.4605
2.466,-1.3838,5.7748
2.466,-1.3838,5.7748
0.0958,0.4118,8.8202
-1.4892,2.8683,10.8745
-1.4892,2.8683,10.8745
-7.7476,10.2663,9.098
-7.7476,10.2663,9.098
-13.125,39.9113,-3.7972
-13.125,39.9113,-3.7972
-13.8864,52.5048,-2.1787
5.5067,50.8528,9.3901
5.5067,50.8528,9.3901
23.8798,29.3577,9.2177
23.8798,29.3577,9.2177
16.1034,22.8934,2.4469
-4.8459,11.248,-51.5472
-4.8459,11.248,-51.5472
-5.1427,0.8428,30.732
-5.1427,0.8428,30.732
-10.1514,0.9242,23.1567
-10.161,3.1125,-1.3168
-10.161,3.1125,-1.3168
-5.2864,-1.0247,-2.217
-5.2864,-1.0247,-2.217
-3.4141,-2.2458,0.3112
-3.4141,-2.2458,0.3112
-2.3798,-4.1851,-2.1261
-1.3551,-4.1228,-1.6424
-1.3551,-4.1228,-1.6424
-1.3024,-3.62,-0.7374
-1.3024,-3.62,-0.7374
-1.6424,-4.0749,0.0048
-2.7007,-3.7302,-0.5219
-2.7007,-3.7302,-0.5219
-3.0885,-2.1308,-0.5507
-3.0885,-2.1308,-0.5507
-3.0742,-0.4693,-1.221
-3.8786,0.9337,-1.8771
-3.8786,0.9337,-1.8771
-4.7022,1.6999,-1.9201
-4.7022,1.6999,-1.9201
-9.9072,4.2569,-0.249
-9.9072,4.2569,-0.249
-14.279,19.484,-1.3838
-11.6933,33.9546,5.9089
-11.6933,33.9546,5.9089
0.6847,38.3599,9.2512
0.6847,38.3599,9.2512
18.4689,35.6497,12.4834
22.1464,27.8446,10.477
22.1464,27.8446,10.477
4.0127,26.2692,10.8266
4.0127,26.2692,10.8266
-0.0958,24.7225,4.2569
2.7916,19.6037,-0.6321
2.7916,19.6037,-0.6321
2.7916,19.6037,-0.6321
-9.3374,3.1173,-99.1966
-3.7158,-5.8371,-32.2212
-3.7158,-5.8371,-32.2212
8.9304,7.6902,-4.6974
8.9304,7.6902,-4.6974
15.4282,5.5689,-16.836
6.5218,8.4515,7.0294
6.5218,8.4515,7.0294
4.3191,7.0581,4.1994
4.3191,7.0581,4.1994
1.9297,4.2282,0.8906
1.9297,4.2282,0.8906
3.0167,1.7238,-0.6177
3.0167,1.7238,-0.6177
3.0167,1.7238,-0.6177
3.0167,1.7238,-0.6177
3.0167,1.7238,-0.6177
2.9209,0.9481,-1.0199
2.9209,0.9481,-1.0199
3.2944,-2.8299,1.1013
2.6432,-2.083,3.6966
2.0542,0.1245,4.6926
2.0542,0.1245,4.6926
1.9441,12.0237,-0.2729
1.9441,12.0237,-0.2729
1.5658,49.8233,-21.1025
1.5658,49.8233,-21.1025
17.6596,62.5892,16.1752
23.1902,56.3978,23.8798
23.1902,56.3978,23.8798
8.8777,27.5525,7.9871
8.8777,27.5525,7.9871
-2.0877,13.4123,-30.1574
-2.0877,13.4123,-30.1574
-0.6273,3.8164,0.7853
-0.6273,3.8164,0.7853
-7.0294,5.0661,2.9353
-7.0294,5.0661,2.9353
-5.6216,2.8252,0.4836
-5.6216,2.8252,0.4836
-2.3224,-0.4836,1.5802
-2.3224,-0.4836,1.5802
-1.3216,-1.8818,1.1875
-0.7326,-3.4046,0.7039
-0.7326,-3.4046,0.7039
-0.7997,-3.7014,0.7709
-0.7997,-3.7014,0.7709
-0.4214,-3.9792,2.1452
-0.4214,-3.9792,2.1452
-0.7039,-4.1132,2.9544
-0.7039,-4.1132,2.9544
-2.6671,-2.4373,0.2682
-2.6671,-2.4373,0.2682
-3.4237,-1.5323,-1.7669
-5.3103,-0.0766,-0.498
-5.3103,-0.0766,-0.498
-5.3103,-0.0766,-0.498
-8.8394,0.929,-0.7757
-8.8394,0.929,-0.7757
-9.7971,1.7286,-1.3551
-6.9528,1.5754,-1.8914
-6.9528,1.5754,-1.8914
-6.8714,3.9935,-2.4229
-6.8714,3.9935,-2.4229
-6.8714,3.9935,-2.4229
-7.6902,7.3885,-0.5938
-7.6902,7.3885,-0.5938
-7.6902,7.3885,-0.5938
7.0294,40.2944,16.9605
7.0294,40.2944,16.9605
20.0395,39.6911,30.1478
-1.7957,37.7949,2.4612
-1.7957,37.7949,2.4612
-1.7957,37.7949,2.4612
0.6608,24.9476,-6.7086
0.6608,24.9476,-6.7086
-4.1851,-12.3062,-57.8535
-4.1851,-12.3062,-57.8535
15.0021,9.4236,-17.4825
15.0021,9.4236,-17.4825
14.8153,10.4196,2.7246
14.8153,10.4196,2.7246
2.4948,8.8585,8.4132
2.4948,8.8585,8.4132
1.1732,4.1946,3.1699
1.1732,4.1946,3.1699
1.1588,0.9385,0.6608
1.1588,0.9385,0.6608
0.3543,-0.6704,-0.4453
0.3543,-0.6704,-0.4453
-0.091,-2.399,-1.7142
-0.091,-2.399,-1.7142
0.929,-3.0119,-0.2873
1.9297,-3.4716,1.0008
1.9297,-3.4716,1.0008
3.4524,-2.4995,2.5187
3.4524,-2.4995,2.5187
3.5147,3.055,2.715
3.5147,3.055,2.715
5.6503,18.354,-9.4619
5.6503,18.354,-9.4619
7.7572,51.868,-5.3199
7.7572,51.868,-5.3199
37.1197,61.5741,25.8622
37.4405,43.3877,24.033
37.4405,43.3877,24.033
18.7179,20.2406,-21.9213
18.7179,20.2406,-21.9213
-0.6321,1.4078,20.3842
-0.6321,1.4078,20.3842
-5.1475,2.557,0.2107
-5.1475,2.557,0.2107
-5.0757,5.3391,5.8227
-5.0757,5.3391,5.8227
-3.4333,1.0822,4.9847
-3.4333,1.0822,4.9847
-2.5905,-2.0399,4.051
-2.5905,-2.0399,4.051
-1.8771,-4.4628,1.4605
-1.8771,-4.4628,1.4605
-1.7478,-5.8227,1.743
-1.7478,-5.8227,1.743
-3.6583,-7.2257,5.3295
-3.6583,-7.2257,5.3295
-6.9719,-2.9257,3.9361
-6.9719,-2.9257,3.9361
-6.0956,-1.6951,1.3838
-3.122,-0.5507,-1.3791
-3.122,-0.5507,-1.3791
-4.9464,0.656,-3.1364
-4.9464,0.656,-3.1364
-7.1108,1.743,-4.4532
-7.1108,1.743,-4.4532
-14.9973,11.157,-6.9432
-14.9973,11.157,-6.9432
-13.7427,13.8624,-7.4651
-13.7427,13.8624,-7.4651
-11.789,26.4368,-3.1077
-11.789,26.4368,-3.1077
7.5753,31.6226,6.5841
7.5753,31.6226,6.5841
52.433,26.1064,21.7441
31.7184,20.3076,21.6053
31.7184,20.3076,21.6053
-0.1341,30.1669,20.2789
-0.1341,30.1669,20.2789
0.8763,30.4112,4.4053
0.8763,30.4112,4.4053
15.4761,22.5103,-11.133
18.33,-0.5124,-105.7471
18.33,-0.5124,-105.7471
18.33,-0.5124,-105.7471
2.083,-7.3694,-26.2644
2.083,-7.3694,-26.2644
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
19.7091,7.5274,-4.3958
13.3453,3.6727,-3.5195
13.3453,3.6727,-3.5195
13.3453,3.6727,-3.5195
13.3453,3.6727,-3.5195
-8.4851,8.193,-92.8807
-8.4851,8.193,-92.8807
-8.4851,8.193,-92.8807
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-5.0901,-0.4788,0.7422
-2.1548,-3.1987,4.0941
-2.1548,-3.1987,4.0941
-2.4565,-2.3367,1.0726
-2.4565,-2.3367,1.0726
-1.8052,-0.8811,-1.0295
-1.8052,-0.8811,-1.0295
