ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²)
6.3638,5.0709,1.2594
6.7181,4.7549,1.1684
6.1675,4.2234,0.7949
6.1675,4.2234,0.7949
4.9081,3.6248,0.4022
4.9081,3.6248,0.4022
3.5578,3.4668,0.7997
3.5578,3.4668,0.7997
3.5721,3.395,1.652
3.5721,3.395,1.652
4.5969,2.8204,1.47
4.5969,2.8204,1.47
4.5969,2.8204,1.47
5.4827,2.9544,0.4932
6.7756,3.9313,0.1149
6.7756,3.9313,0.1149
8.9112,6.9192,3.644
8.9112,6.9192,3.644
9.8928,9.845,6.2537
12.3828,15.3995,2.9688
12.3828,15.3995,2.9688
11.0229,18.8711,-4.4724
11.0229,18.8711,-4.4724
10.0556,16.3141,0.4357
6.1531,10.6638,2.6719
6.1531,10.6638,2.6719
6.019,7.4891,-0.5986
6.019,7.4891,-0.5986
6.8331,7.0677,-1.0774
6.8331,7.0677,-1.0774
8.1499,8.5042,2.5139
8.1499,8.5042,2.5139
7.197,8.734,0.5794
4.6926,8.5856,0.2155
4.6926,8.5856,0.2155
3.5434,8.169,2.1308
3.5434,8.169,2.1308
3.5769,7.8961,2.6097
3.5769,7.8961,2.6097
3.5769,7.8961,2.6097
3.9792,8.2648,1.7717
3.9792,8.2648,1.7717
4.3383,9.4284,1.336
4.4341,9.8019,0.7518
4.4341,9.8019,0.7518
4.4341,9.8019,0.7518
4.1946,9.7492,0.5746
4.276,8.8969,-0.0766
4.276,8.8969,-0.0766
4.276,8.8969,-0.0766
4.7405,7.6998,-0.7614
4.7405,7.6998,-0.7614
4.7405,7.6998,-0.7614
4.7405,7.6998,-0.7614
4.7405,7.6998,-0.7614
4.7405,7.6998,-0.7614
4.7405,7.6998,-0.7614
4.6878,7.2401,-1.1205
4.6878,7.2401,-1.1205
4.5203,6.5122,0.7757
4.5203,6.5122,0.7757
4.5203,6.5122,0.7757
4.2473,6.6463,0.6177
4.2473,6.6463,0.6177
4.2473,6.6463,0.6177
4.1324,6.6655,0.1484
4.1324,6.6655,0.1484
4.8554,7.3454,-0.1724
4.8554,7.3454,-0.1724
4.8554,7.3454,-0.1724
4.889,7.9535,0.1532
4.889,7.9535,0.1532
4.889,7.9535,0.1532
4.4436,8.2025,0.8715
4.4436,8.2025,0.8715
4.4436,8.2025,0.8715
2.2362,9.0405,-5.3439
2.2362,9.0405,-5.3439
3.9361,9.7971,4.0031
3.9361,9.7971,4.0031
3.9361,9.7971,4.0031
0.4501,11.6262,-3.395
0.4501,11.6262,-3.395
0.4501,11.6262,-3.395
6.5649,7.9679,0.1676
6.5649,7.9679,0.1676
6.5649,7.9679,0.1676
5.7557,7.9248,-0.9385
5.7557,7.9248,-0.9385
5.7557,7.9248,-0.9385
6.4021,9.4619,2.1931
6.4021,9.4619,2.1931
5.5354,9.5193,1.3743
5.5354,9.5193,1.3743
5.5354,9.5193,1.3743
5.3534,11.0133,2.1165
5.3534,11.0133,2.1165
5.3534,11.0133,2.1165
5.5593,12.0716,1.8818
5.5593,12.0716,1.8818
5.5593,12.0716,1.8818
6.8283,12.8569,0.2155
6.8283,12.8569,0.2155
6.8283,12.8569,0.2155
5.8658,12.5121,-1.0726
5.8658,12.5121,-1.0726
5.77,11.5017,1.0104
5.77,11.5017,1.0104
5.77,11.5017,1.0104
7.2305,9.7157,-4.4724
